step,loss_total,loss_action,loss_latent,step_time_s,samples_per_s
126,0.0025310306809842587,0.0006629663985222578,0.001868064166046679,0.0038919933140277863,32888.03183156911
127,0.0027395798824727535,0.0007789639057591558,0.0019606160931289196,0.0038919802755117416,32888.14200970476
128,0.0027072527445852757,0.000912568299099803,0.0017946845619007945,0.0038881246000528336,32920.75567698131
129,0.002458122791722417,0.0005521439015865326,0.0019059788901358843,0.003890320658683777,32902.17214210476
130,0.0023098732344806194,0.0004889374249614775,0.001820935751311481,0.003882734104990959,32966.46037014632
131,0.002412694040685892,0.0005724165821447968,0.0018402774585410953,0.003924742341041565,32613.605907701654
132,0.002310760784894228,0.0005136058898642659,0.001797154895029962,0.003907160833477974,32760.36115617496
133,0.0024261455982923508,0.0006492380052804947,0.001776907593011856,0.00392184779047966,32637.676635672036
134,0.0022197882644832134,0.0004577195504680276,0.0017620687140151858,0.0039190612733364105,32660.882561560433
135,0.0023268978111445904,0.0004259149427525699,0.0019009829265996814,0.004171688109636307,30683.022468609048
136,0.0023385731037706137,0.0005957068642601371,0.0017428662395104766,0.006255665794014931,20461.45114121397
137,0.0024345561396330595,0.0005967061733826995,0.00183784996625036,0.00624968484044075,20481.03276692157
138,0.0021614464931190014,0.00044577757944352925,0.0017156688263639808,0.006253993138670921,20466.92363771959
139,0.002127700252458453,0.00038566201692447066,0.0017420382937416434,0.006257390603423119,20455.811074024583
140,0.0020663966424763203,0.0003426761250011623,0.0017237205756828189,0.006257852539420128,20454.301087104377
141,0.0021328330039978027,0.0004173278284724802,0.001715505146421492,0.006242120638489723,20505.851682957782
142,0.0020809266716241837,0.00038035481702536345,0.001700571971014142,0.006246959790587425,20489.967006489034
143,0.0021403844002634287,0.00033131433883681893,0.0018090701196342707,0.005386883392930031,23761.420224538833
144,0.0020136500243097544,0.0003708523290697485,0.0016427977243438363,0.006276153028011322,20394.658866461454
145,0.002091705333441496,0.00034807133488357067,0.001743634114973247,0.006232092157006264,20538.84903741345
146,0.0019192169420421124,0.0002738141338340938,0.0016454028664156795,0.006285449489951134,20364.494250513042
147,0.002014009514823556,0.00034210263402201235,0.001671906909905374,0.006256135180592537,20459.915955312965
148,0.0019823103211820126,0.00033766470733098686,0.001644645701162517,0.006248101592063904,20486.22259320825
149,0.0019319476559758186,0.0003037374699488282,0.0016282101860269904,0.006288658827543259,20354.101488123622
150,0.0019460550975054502,0.0003286706341896206,0.00161738449241966,0.006242651492357254,20504.107935018907
151,0.0021838126704096794,0.00044904029346071184,0.0017347723478451371,0.006288785487413406,20353.691544445846
152,0.0020275709684938192,0.0004496401525102556,0.0015779307577759027,0.006275823339819908,20395.730260258268
153,0.0021377764642238617,0.00046986056258901954,0.0016679158434271812,0.006259102374315262,20450.21671562019
154,0.00211145612411201,0.0005404881667345762,0.0015709679573774338,0.006259975954890251,20447.362884837803
155,0.0022810178343206644,0.0006844549207016826,0.0015965629136189818,0.006254803389310837,20464.272341277097
156,0.0022559771314263344,0.0006829692283645272,0.0015730079030618072,0.006285142153501511,20365.490051595734
157,0.0022739132400602102,0.0007083163945935667,0.0015655969036743045,0.006247067824006081,20489.61266406052
158,0.0024522384628653526,0.0008921334519982338,0.001560104894451797,0.0062683094292879105,20420.178908516486
159,0.002830385696142912,0.0011675027199089527,0.0016628828598186374,0.006240924820303917,20509.780791393467
160,0.0028546666726469994,0.0013456796295940876,0.0015089870430529118,0.006266795098781586,20425.11331268614
