timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/06/02 00:59:30.150, 1, 0 %, 0 %, 18 MiB, 29.02 W
2026/06/02 00:59:31.151, 0, 38 %, 25 %, 1802 MiB, 171.87 W
2026/06/02 00:59:31.151, 1, 0 %, 0 %, 18 MiB, 28.91 W
2026/06/02 00:59:32.152, 0, 39 %, 25 %, 1802 MiB, 171.72 W
2026/06/02 00:59:32.153, 1, 0 %, 0 %, 18 MiB, 28.84 W
2026/06/02 00:59:33.153, 0, 39 %, 25 %, 1802 MiB, 175.47 W
2026/06/02 00:59:33.154, 1, 0 %, 0 %, 18 MiB, 29.13 W
2026/06/02 00:59:34.155, 0, 39 %, 25 %, 1802 MiB, 171.61 W
2026/06/02 00:59:34.156, 1, 0 %, 0 %, 18 MiB, 29.04 W
2026/06/02 00:59:35.156, 0, 38 %, 25 %, 1802 MiB, 171.24 W
2026/06/02 00:59:35.157, 1, 0 %, 0 %, 18 MiB, 29.03 W
2026/06/02 00:59:36.158, 0, 31 %, 21 %, 1802 MiB, 171.70 W
2026/06/02 00:59:36.159, 1, 0 %, 0 %, 18 MiB, 28.92 W
2026/06/02 00:59:37.160, 0, 38 %, 26 %, 1802 MiB, 192.90 W
2026/06/02 00:59:37.161, 1, 0 %, 0 %, 18 MiB, 28.92 W
2026/06/02 00:59:38.162, 0, 34 %, 24 %, 1802 MiB, 200.05 W
2026/06/02 00:59:38.162, 1, 0 %, 0 %, 18 MiB, 29.77 W
2026/06/02 00:59:39.164, 0, 37 %, 25 %, 1802 MiB, 186.27 W
2026/06/02 00:59:39.164, 1, 0 %, 0 %, 18 MiB, 30.13 W
2026/06/02 00:59:40.165, 0, 37 %, 24 %, 1802 MiB, 170.28 W
2026/06/02 00:59:40.166, 1, 0 %, 0 %, 18 MiB, 29.17 W
2026/06/02 00:59:41.167, 0, 38 %, 25 %, 1802 MiB, 169.09 W
2026/06/02 00:59:41.167, 1, 0 %, 0 %, 18 MiB, 29.23 W
2026/06/02 00:59:42.168, 0, 37 %, 24 %, 1802 MiB, 168.68 W
2026/06/02 00:59:42.169, 1, 0 %, 0 %, 18 MiB, 29.20 W
2026/06/02 00:59:43.169, 0, 32 %, 21 %, 1802 MiB, 169.42 W
2026/06/02 00:59:43.170, 1, 0 %, 0 %, 18 MiB, 29.21 W
2026/06/02 00:59:44.171, 0, 36 %, 24 %, 1802 MiB, 171.82 W
2026/06/02 00:59:44.172, 1, 0 %, 0 %, 18 MiB, 29.28 W
2026/06/02 00:59:45.172, 0, 37 %, 24 %, 1802 MiB, 168.83 W
2026/06/02 00:59:45.173, 1, 0 %, 0 %, 18 MiB, 29.26 W
2026/06/02 00:59:46.174, 0, 37 %, 25 %, 1802 MiB, 168.42 W
2026/06/02 00:59:46.175, 1, 0 %, 0 %, 18 MiB, 29.16 W
2026/06/02 00:59:47.176, 0, 37 %, 24 %, 1802 MiB, 172.12 W
2026/06/02 00:59:47.177, 1, 0 %, 0 %, 18 MiB, 29.46 W
